email_id,class_label,secondary_label,is_multi_intent,is_ambiguous,is_spam,language,tone,sender_profile,email_length,noise_level,channel,temperature,top_p,top_k,seed,model_assigned
30c000c9-a81,cambio_domiciliacion,,False,False,False,en,desesperado,jubilado,medio,limpio,app_movil,0.78,0.66,46,51854,deepseek/deepseek-r1-0528-qwen3-8b
aac703f6-776,cambio_titular,,False,False,False,es,cortés,particular_enfadado,muy_largo,limpio,email_directo,0.77,0.67,41,36701,google/gemma-4-e4b
c4088e93-dd3,contrato_empresarial,factura_error,True,False,False,es,desesperado,particular_enfadado,medio,moderado,webform,0.78,0.39,77,96383,deepseek/deepseek-r1-0528-qwen3-8b
11f9b2c5-d7e,consulta_eficiencia,,False,False,False,en,urgente,particular_enfadado,medio,moderado,webform,0.93,0.51,75,96294,google/gemma-4-e4b
4c53a421-350,corte_suministro,,False,False,False,es,urgente,abogado,corto,limpio,respuesta_cadena,0.87,0.31,58,61401,deepseek/deepseek-r1-0528-qwen3-8b
0d0fc9e4-9f3,solicitud_certificado,,False,False,False,es,cortés,particular_enfadado,largo,moderado,app_movil,0.9,0.65,73,27093,google/gemma-4-e4b
df4e12a7-7c1,incidencia_apagón,,False,False,False,es,técnico,cliente_empresarial,medio,limpio,app_movil,0.84,0.56,69,59608,deepseek/deepseek-r1-0528-qwen3-8b
0d8b1420-ce3,cambio_domiciliacion,,False,False,True,es,técnico,autónomo,largo,limpio,email_directo,0.66,0.77,67,59444,google/gemma-4-e4b
cfd72e37-a87,corte_suministro,consulta_autoconsumo,True,False,False,es,informal,jubilado,corto,leve,reenvio_tercero,0.92,0.46,60,18595,deepseek/deepseek-r1-0528-qwen3-8b
b5189f6b-eb4,reclamacion_factura,,False,False,False,es,técnico,autónomo,muy_corto,limpio,respuesta_cadena,0.94,0.62,48,69408,google/gemma-4-e4b
d7878d9d-46e,baja_contrato,,False,False,False,es,informal,jubilado,largo,alto,app_movil,0.72,0.57,37,14831,deepseek/deepseek-r1-0528-qwen3-8b
362870ff-bc7,phishing_energia,,False,True,True,es,desesperado,cliente_empresarial,muy_corto,alto,webform,0.91,0.57,53,7081,google/gemma-4-e4b
ebfe46c6-db6,fuga_gas,,False,False,False,en,técnico,autónomo,largo,limpio,webform,1.0,0.5,76,63014,deepseek/deepseek-r1-0528-qwen3-8b
fa7cf263-4ce,consulta_lectura_contador,factura_error,True,False,False,es,técnico,autónomo,largo,leve,reenvio_tercero,0.89,0.48,35,81622,google/gemma-4-e4b
1455782d-37e,reclamacion_factura,,False,False,False,es,técnico,abogado,largo,limpio,reenvio_tercero,0.92,0.41,58,6235,deepseek/deepseek-r1-0528-qwen3-8b
d961fff0-d36,solicitud_cambio_tarifa,,False,False,False,es,urgente,cliente_residencial,corto,limpio,reenvio_tercero,0.93,0.63,54,60529,google/gemma-4-e4b
3756639d-122,consulta_tarifas_pvpc,,False,False,False,es,cortés,cliente_residencial,medio,moderado,webform,0.78,0.64,62,97340,deepseek/deepseek-r1-0528-qwen3-8b
85706f75-063,factura_error,,False,False,False,es,cortés,abogado,medio,alto,email_directo,0.71,0.62,65,96376,google/gemma-4-e4b
79521f83-c2f,consulta_lectura_contador,,False,False,False,es,agresivo,cliente_empresarial,corto,limpio,webform,0.84,0.77,55,27821,deepseek/deepseek-r1-0528-qwen3-8b
913727e8-518,emergencia_gas,,False,False,False,es,técnico,abogado,largo,moderado,app_movil,0.74,0.46,59,98352,google/gemma-4-e4b
fe287474-b42,incidencia_apagón,,False,False,False,es,formal,autónomo,medio,limpio,webform,0.92,0.38,68,46336,deepseek/deepseek-r1-0528-qwen3-8b
d8c907bb-d2a,solicitud_nuevo_contrato,reclamacion_factura,True,False,False,es,desesperado,jubilado,corto,limpio,email_directo,0.94,0.33,40,10881,google/gemma-4-e4b
2e3f4a27-f73,spam_energia,,False,False,True,es,técnico,jubilado,corto,alto,app_movil,0.65,0.36,77,18225,deepseek/deepseek-r1-0528-qwen3-8b
63aeb884-030,vehiculo_electrico,,False,True,False,en,técnico,particular_enfadado,corto,limpio,respuesta_cadena,1.03,0.43,55,51193,google/gemma-4-e4b
8c23594d-e3b,cambio_domiciliacion,,False,False,False,en,confuso,abogado,corto,leve,respuesta_cadena,1.02,0.33,46,45024,deepseek/deepseek-r1-0528-qwen3-8b
073bf417-5c7,alta_consumo_anomalo,otro_irrelevante,True,False,False,es,técnico,cliente_residencial,muy_largo,leve,webform,0.7,0.75,74,12247,google/gemma-4-e4b
